span	freq	ascii_variant	contexts
Guardsman	8	Guardsman	ere to go to the brahman Moggallana the Guardsman at his construction site?" So he went t | ion site?" So he went to Moggallana the Guardsman at his construction site. | Moggallana the Guardsman saw him coming from afar, and on seeing
I-making	8	I-making	linging involves what the Buddha calls "I-making" — the creation of a sense of self — if | ause the sense of self is a product of "I-making," this question seeks to do nothing mor | ment and dispassion for that process of I-making, so as to put a stop to it.
Indeed	8	Indeed	The thought occurred to him, "Indeed, it seems that the Blessed One speaks t | [3] Indeed, it seems that the One Well-gone speaks | onvinced of the Tathagata's Awakening: 'Indeed, the Blessed One is worthy and rightly
Kapilavatthu	8	Kapilavatthu	ed One was staying among the Sakyans at Kapilavatthu in the Banyan Park. | d One was living among the Sakyans near Kapilavatthu in the Banyan Park. | ing his bowl & outer robe, he went into Kapilavatthu for alms.
Nigantha	8	Nigantha	Then Saccaka, a Nigantha (Jain), while walking and wandering aro | "Venerable sir, here comes Saccaka the Nigantha: a debater, a sophist, well-regarded by | Then Saccaka the Nigantha went to the Blessed One and, on arrival
Purification	8	Purification	hmans whose doctrine and view is this: 'Purification comes about through food.' [19] They sa | hmans whose doctrine and view is this: 'Purification comes about through food.' They say: 'L | hmans whose doctrine and view is this: 'Purification comes about through the round of rebirt
Rammaka	8	Rammaka	venerable ones, go to the hermitage of Rammaka the brahman . | da said to him, "Lord, the hermitage of Rammaka the brahman is not far away. | Pleasing is the hermitage of Rammaka the brahman.
Regarding	8	Regarding	[4] Regarding this monk, I do not say that he has a t | [5] Regarding this monk, I do not say that he has a t | [6] Regarding this monk, I say that he has a task to
See	8	See	rses be slaughtered for the sacrifice." See also: MN 45 ; MN 95 | ed One addressed the venerable Ananda: "See, Ananda, how this misguided man Udayin | fuge, from this day forward, for life." See also: AN 4.24 ; AN 4.42 ; Mind Like Fir
The Buddha	8	The Buddha	nnaka  Sutta

Translator's Introduction The Buddha often likened himself to a doctor, offe | ouch for the efficacy of their method.) The Buddha then provides his own account of how me | it correctly, remember it correctly?" [The Buddha:] "Yes, Ananda, you heard that correctl
The Wings	8	The Wings	; " Kamma and the Ending of Kamma " in The Wings to Awakening (Thanissaro Bhikkhu). | of non-fashioning in the practice, see The Wings to Awakening, II/B and III/G , and The | Bricks "; see also the Introduction to The Wings to Awakening , along with the introduct
Brahma's	7	Brahma's	th, were to reappear among the devas in Brahma's retinue... | AN 4.123 and 125 state that rebirth in Brahma's retinue can follow on the attainment of | l understand.' "Then, having understood Brahma's invitation, out of compassion for being
Devadatta	7	Devadatta	ld say, 'Then how, lord, did you say of Devadatta that "Devadatta is headed for destituti | w, lord, did you say of Devadatta that "Devadatta is headed for destitution, Devadatta is | t "Devadatta is headed for destitution, Devadatta is headed for hell, Devadatta will boil
Dhamma-Vinaya	7	Dhamma-Vinaya	— that of salt — in the same way, this Dhamma-Vinaya has a single taste: that of release." — | g growth, increase, & abundance in this Dhamma-Vinaya. | here is the case where a monk, when the Dhamma-Vinaya proclaimed by the Tathagata is being ta
Dhamma-speaker	7	Dhamma-speaker	a Dhamma-speaker. | He notices, 'I am a Dhamma-speaker, but these other monks are not Dhamma-s | He exalts himself for being a Dhamma-speaker and disparages others.
Don't	7	Don't	ack and forth and rebuked him, saying, "Don't say that, friend Arittha. | e and as 'friend.' "So I said to them, 'Don't address the Tathagata by name and as "f | on being attained, nothing is felt.'" "Don't say that, friend.
Four Arousings	7	Four Arousings	the attainment of Nibbana, namely, the Four Arousings of Mindfulness." The Four Arousings of | hikkhus, should any person maintain the Four Arousings of Mindfulness in this manner for seven | Should a person maintain these Four Arousings of Mindfulness, in this manner, for six
Further	7	Further	The Perception of Earth "Further, Ananda, the monk — not attending to th | ( The Infinitude of Space ) "Further, Ananda, the monk — not attending to th | ( The Infinitude of Consciousness ) "Further, Ananda, the monk — not attending to th
Great Forest	7	Great Forest	g in Vesali , at the Gabled Hall in the Great Forest. | is legs, went to the Gabled Hall in the Great Forest. | ssed One was staying near Vesali in the Great Forest, at the Peaked Pavilion.
Has	7	Has	] One pure in heart who does good deeds Has his observances perfect for all times. | the world, The wise one, by awakening, Has opened the door to non-death, Which saf | What do you think: Has her earlier beauty & charm vanished, an
Hey	7	Hey	at master-son Ratthapala has arrived." "Hey, if what you say is true, I give you yo | Then Lady Vedehika said to her: 'Hey, Kali!' "'Yes, madam?' "'Why did you ge | Then Lady Vedehika said to her: 'Hey, Kali!' "'Yes, madam?' "'Why did you ge
King Yama	7	King Yama	ch a being) by the arms, present him to King Yama : 'This is a man, your majesty, with no | man regarding the first deva messenger, King Yama interrogates & interpellates & castigat | an regarding the second deva messenger, King Yama interrogates & interpellates & castigat
Koliyans	7	Koliyans	Koliyan country: there is a town of the Koliyans called Haliddavasana . | Then Punna , a son of the Koliyans and an ox-duty ascetic, and also Seniya | the Blessed One told Punna, son of the Koliyans and an ox-duty ascetic: "Punna, I could
Lady Vedehika	7	Lady Vedehika	This good report about Lady Vedehika had circulated: 'Lady Vedehika is gentl | rt about Lady Vedehika had circulated: 'Lady Vedehika is gentle. | Lady Vedehika is calm.' Now, Lady Vedehika had a slave named Kali who was diligent
Mental	7	Mental	mind is established with the thought: 'Mental objects exist,' to the extent necessary | lness is established with the thought, 'Mental objects exist,' to the extent necessary | lness is established with the thought, "Mental objects exist," to the extent necessary
Migara's	7	Migara's	staying near Savatthi in the palace of Migara's mother in the Eastern Monastery. | Just as, good Gotama, in this palace of Migara's mother there can be seen a gradual trai | Just as this palace of Migara's mother is empty of elephants, cattle, &
Perfect One	7	Perfect One	n that very condition.' He then hears a Perfect One expounding the Teaching for the removal | n that very condition.' He then hears a Perfect One expounding the Teaching for the removal | ers revile, abuse, scold and insult the Perfect One, on that account, O monks, the Perfect
Phagguna	7	Phagguna	brahmanic purification in the month of Phagguna (February-March). | "Phagguna, if anyone were to reproach you right t | There, Phagguna, you should train yourself thus: 'Neith
Practicing	7	Practicing	mited, immeasurable, & well developed.' Practicing & frequently abiding in this way, his m | derived from the four great elements.' Practicing & frequently abiding in this way, his m | g, is not worth remaining fastened to." Practicing & frequently abiding in this way, his m
Released.' He	7	Released.' He	With release, there is the knowledge, 'Released.' He discerns, 'Birth is ended, the holy lif | With release, there is the knowledge, 'Released.' He discerns that 'Birth is ended, the holy | With release, there is the knowledge, 'Released.' He discerns that 'Birth is ended, the holy
Responding	7	Responding	able to swallow it down or spit it up." Responding, "As you say, venerable sir," Prince Ab | anin's home, out of sympathy for him.'" Responding, "As you say, lord," to Dhanañjanin the | dika's home, out of sympathy for him.'" Responding, "As you say, lord," to Anathapindika t
Right	7	Right	ditthi Sutta

Translator's Introduction Right view is normally explained in terms of | Sariputta said, "'Right view, right view' it is said. | prehension, its purpose is abandoning." Right view "Friend, how many conditions are t
Sir	7	Sir	not, or follows the holy life or not?" "Sir, through the extent of land conquered b | not, or follows the holy life or not?" "Sir, through the extent of land not conquer | of the Thirty-three from that place?" "Sir, King Pasenadi Kosala can't even see th
Squirrels' Sanctuary	7	Squirrels' Sanctuary	near Rajagaha in the Bamboo Grove, the Squirrels' Sanctuary. | near Rajagaha in the Bamboo Grove, the Squirrels' Sanctuary. | near Rajagaha in the Bamboo Grove, the Squirrels' Sanctuary.
Tathāgata	7	Tathagata	And that a Tathāgata — worthy & rightly self-awakened — migh | And that I might attend to that Tathāgata! | — if you were to listen, Ānanda, to the Tathāgata analyzing the greater analysis of actio
The Wheel	7	The Wheel	to the brahman's name is derived [Ed., The Wheel ]. | e pure life of a celibate recluse [Ed., The Wheel ]. | rofitable, karmically wholesome." [Ed., The Wheel ].
This Dhamma	7	This Dhamma	But the thought occurred to me, 'This Dhamma leads not to disenchantment, to dispass | But the thought occurred to me, 'This Dhamma leads not to disenchantment, to dispass | But the thought occurred to me, 'This Dhamma leads not to disenchantment, to dispass
Uddaka Ramaputta	7	Uddaka Ramaputta	elled state of sublime peace, I went to Uddaka Ramaputta and, on arrival, said to him: 'Friend U | lead this community.' "In this way did Uddaka Ramaputta, my companion in the holy life, place m | elled state of sublime peace, I went to Uddaka Ramaputta and, on arrival, said to him: 'Friend U
Uggahamana	7	Uggahamana	Now on that occasion Uggahamana , a follower of Mundika the contemplati | e-pavilion park of Queen Mallika to see Uggahamana, a follower of Mundika the contemplativ | Now on that occasion Uggahamana was sitting with his large following of
Whether	7	Whether	not relinquished & stilled within him: Whether or not he feels painful, racking, pierc | not relinquished & stilled within him: Whether or not he feels painful, racking, pierc | y is relinquished & stilled within him: Whether or not he feels painful, racking, pierc
Akasa	6	Akasa	palace?" " Sañjaya , the brahman of the Akasa clan , great king." So King Pasenadi tu | Summon Sañjaya the brahman of the Akasa clan, saying, 'King Pasenadi Kosala sum | man went to Sañjaya the brahman of the Akasa clan and on arrival said to him, "King
Arahatship	6	Arahatship	" By the path of Arahatship (arahatta-magga): (1) covetousness and | ence, is eradicated only on the path of Arahatship; hence the classification under the lat | attainment of the path and fruition (of Arahatship), says Comy.
Bahuka River	6	Bahuka River	thus: "But does Master Gotama go to the Bahuka River to bathe?" "What good, brahman, is the | to bathe?" "What good, brahman, is the Bahuka River? | What can the Bahuka River do?" "Truly, Master Gotama, many people
Be	6	Be	d on seeing him, hushed his following: "Be quiet, good sirs. | & there, urinate here & there, saying, 'Be without earth. | seers cursed the seer Devala the Dark: "Be ashes, dribble-spit!
Before	6	Before	The thought would occur to him, "Before, I was shot with an arrow thickly smear | The thought would occur to him, 'Before, taking a loan, I invested it in my bus | The thought would occur to him, 'Before, I was sick...
Blind	6	Blind	lated him, and went to the Grove of the Blind for the day's abiding. | d him, and has gone to the Grove of the Blind for the day's abiding." So Ven. | Punna plunged into the Grove of the Blind and sat down in the shade of a tree for
Both	6	Both	As the Buddha says in this discourse, "Both formerly and now, monks, I declare only | rmination of the existing being.' [13] "Both formerly and now, monks, I declare only | 'Both does & does not reappear' doesn't apply
Brahma'	6	Brahma'	of Brahma, created by Brahma, heirs of Brahma'?" "Even though Master Gotama says that, | of Brahma, created by Brahma, heirs of Brahma'?" "Even though Master Gotama says that, | of Brahma, created by Brahma, heirs of Brahma'?" "Even though Master Gotama says that,
Dark	6	Dark	rs of Brahma.' Then the seer Devala the Dark heard, 'This evil viewpoint has arisen | ahman seers said to the seer Devala the Dark, 'Now who is this, walking back & forth | rahman seers cursed the seer Devala the Dark: "Be ashes, dribble-spit!
Devala	6	Devala	Brahma, heirs of Brahma.' Then the seer Devala the Dark heard, 'This evil viewpoint ha | he seven brahman seers said to the seer Devala the Dark, 'Now who is this, walking bac | the seven brahman seers cursed the seer Devala the Dark: "Be ashes, dribble-spit!
Dhammadinna	6	Dhammadinna	Translator's note: The Buddha praised Dhammadinna the nun as the foremost Dhamma teacher | Then Visakha the lay follower went to Dhammadinna the nun and, on arrival, having bowed d | y follower delighted & rejoiced in what Dhammadinna the nun had said.
Does	6	Does	Master Gotama, he does not reappear." "'Does not reappear,' Vaccha, doesn't apply." | 'Does not reappear' doesn't apply. | 'Does not reappear' doesn't apply.
Ed	6	Ed	ition to the brahman's name is derived [Ed., The Wheel ]. | to the pure life of a celibate recluse [Ed., The Wheel ]. | ry, profitable, karmically wholesome." [Ed., The Wheel ].
English	6	English	Pali passage — though rather awkward in English — has been retained in this translation | jective that has no exact equivalent in English. | a means, so it's hard to find a precise English equivalent for the term.
Enlightenment	6	Enlightenment	The Seven Factors of Enlightenment "And, further, o bhikkhus, a bhikkhu li | through cultivation [of the Factors of Enlightenment]. | through cultivation [of the Factors of Enlightenment] 27.
Four Great Kings	6	Four Great Kings	were to reappear among the devas of the Four Great Kings, it is possible that one — with the bre | h — would appear among the devas of the Four Great Kings. | realms beginning with the devas of the Four Great Kings is based on five qualities: conviction,
Freedom	6	Freedom	that moment the Blessed One exclaimed, Freedom from disease: the foremost good fortune | too, is well-stated by master Gotama: 'Freedom from disease: the foremost good fortune | derers in the lineage of our teachers: 'Freedom from disease: the foremost good fortune
Game Refuge	6	Game Refuge	ed One was staying near Varanasi in the Game Refuge at Isipatana. | d One said, "Monks, at Varanasi, in the Game Refuge at Isipatana, the Tathagatha — the wort | At Varanasi, in the Game Refuge at Isipatana, the Tathagatha — the wort
General Vidudabha	6	General Vidudabha	l." Then King Pasenadi Kosala turned to General Vidudabha : "General, who brought this topic into | back to this life." When this was said, General Vidudabha said to the Blessed One, "Lord, can the | Ananda turned to General Vidudabha and said, "In that case, general, I wil
Great Wood	6	Great Wood	li in the Peaked Roofed Pavilion in the Great Wood. | im at the Peaked Roofed Pavilion in the Great Wood, and there he spoke in a variety of way | ing from his alms round, he went to the Great Wood for the day's abiding.
Grove	6	Grove	e, circumambulated him, and went to the Grove of the Blind for the day's abiding. | ircumambulated him, and has gone to the Grove of the Blind for the day's abiding." So | Punna plunged into the Grove of the Blind and sat down in the shade
Hence	6	Hence	ereupon gains unwavering confidence..." Hence the grammatical construction of the ori | cause of that unwavering confidence..." Hence the two terms refer to "the joy that ha | But alas, I do not get it!' Hence he grieves, is depressed and laments; b
However	6	However	elaka, sometimes translated as "naked." However, the description of acelaka ascetics in | son" as opposed to unchanging "nature." However, in his later translation of SN 22.81 , | to fall from that occasional release." However, when the passage is repeated after the
I'll	6	I'll	ng with an upper fire-stick, thinking, 'I'll light a fire. | ng with an upper fire-stick, thinking, 'I'll light a fire. | ng with an upper fire-stick, thinking, 'I'll light a fire.
Kasi	6	Kasi	ght of the Kasis & Kosalans that we use Kasi sandalwood and wear garlands, scents, & | the wheel of Dhamma I go to the city of Kasi. | Blessed One was wandering on a tour of Kasi with a large community of monks.
Kuru	6	Kuru	, at Kammasadamma, a market-town of the Kuru people. | , at Kammasadamma, a market town of the Kuru people. | sion the Blessed One was staying in the Kuru country.
Kurus	6	Kurus	time the Blessed One was living in the Kurus, at Kammasadamma, a market-town of the | me the Blessed One was living among the Kurus, at Kammasadamma, a market town of the | Now there is a town of the Kurus called Kammasadhamma.
Magadhan	6	Magadhan	lime peace, I wandered by stages in the Magadhan country and came to the military town o | course, for the brahman Vassakara , the Magadhan administrator, on an inspection tour of | is was said, the brahman Vassakara, the Magadhan administrator, turned to General Upanan
Malunkyaputta	6	Malunkyaputta	I don't see.'" "Malunkyaputta, did I ever say to you, 'Come, Malunkya | kyaputta, did I ever say to you, 'Come, Malunkyaputta, live the holy life under me, and I wil | "Malunkyaputta, if anyone were to say, 'I won't live t
Master Bhumija's	6	Master Bhumija's	ts.' [2] With regard to that, what does Master Bhumija's teacher say, what is his view, what doe | d answer in this way." "If that is what Master Bhumija's teacher says, if that is his view, if t | if that is what he declares, then yes, Master Bhumija's teacher stands, as it were, having stru
Nigantha Nataputta	6	Nigantha Nataputta	Then Prince Abhaya went to Nigantha Nataputta and on arrival, having bowed down to hi | As he was sitting there, Nigantha Nataputta said to him, "Come, now, prince. | aya got up from his seat, bowed down to Nigantha Nataputta, circumambulated him, and then went to
Saketa	6	Saketa	, some urgent business were to arise at Saketa ; and that between Savatthi and Saketa | Saketa ; and that between Savatthi and Saketa seven relay chariots were made ready fo | rive at the door of the inner palace at Saketa.
Samkhya	6	Samkhya	t that was developing in his time — the Samkhya, or classification school. | eventually developed into the classical Samkhya system around the time of the Buddha. | raining, which may well have been proto-Samkhya.
Sensuality	6	Sensuality	iple of the noble ones considers this: 'Sensuality here & now; sensuality in lives to come | iple of the noble ones considers this: 'Sensuality here & now; sensuality in lives to come | iple of the noble ones considers this: 'Sensuality here & now; sensuality in lives to come
So Ven	6	So Ven	ve of the Blind for the day's abiding." So Ven. | h his head to the Blessed One's feet.'" So Ven. | e time for the son to counsel the son." So Ven.
Subha	6	Subha	"Sumbha, Subha, Methula, Atthama, and then Megha, Anig | ll speak." "As you say, Master Gotama," Subha the student responded. | When this was said, Subha the student, Todeyya's son, said to the
The Middle Length Discourses	6	The Middle Length Discourses	These last two sentences are missing in The Middle Length Discourses of the Buddha but are present in The Mi | to the translation of this discourse in The Middle Length Discourses of the Buddha, calls this interpretatio | nd all the following paragraphs both in The Middle Length Discourses of the Buddha (Bhikkhu Ñanamoli and Bhi
The Mind Like Fire	6	The Mind Like Fire	these meanings of the word upadana, see The Mind Like Fire Unbound, chapter 3 . | For more on this topic, see The Mind Like Fire Unbound, Chapter 2 . | AN 7.46 (quoted in The Mind Like Fire Unbound ) cites a wing bone and tendon
Thinking	6	Thinking	I discerned that 'Thinking imbued with sensuality has arisen in me | I discerned that 'Thinking imbued with ill will has arisen in me; | I discerned that 'Thinking imbued with harmfulness has arisen in m
Today	6	Today	he glanced up at the sun and thought, "Today is not the time to refute the Blessed O | the sisters Soma and Sakula [1] heard, "Today, they say, King Pasenadi Kosala will go | rd, the sisters Soma and Sakula heard, 'Today, they say, King Pasenadi Kosala will go
Uddaka	6	Uddaka	ing & seeing this Dhamma.' So I went to Uddaka and said, 'To what extent did Rama decl | ed in this Dhamma?' When this was said, Uddaka declared the dimension of neither perce | I went to Uddaka and said, 'Friend Uddaka, is this the e
Unbound	6	Unbound	he word upadana, see The Mind Like Fire Unbound, chapter 3 . | e on this topic, see The Mind Like Fire Unbound, Chapter 2 . | AN 7.46 (quoted in The Mind Like Fire Unbound ) cites a wing bone and tendon parings
Uttara	6	Uttara	"Bodhi, Mahanama, and then Uttara; Kesi, Sikhi, Sundara, and Bharadvaja. | Then the young brahman Uttara , a student of Parasiri [1] went to the | ng there, the Blessed One said to him: "Uttara, does the brahman Parasiri teach his fo
Venerable Udayi	6	Venerable Udayi	hen Carpenter Fivetools went to see the Venerable Udayi . | Thus seated, he asked the Venerable Udayi: "How many kinds of feelings, reverend | eaceful and sublime happiness." But the Venerable Udayi replied: "It is not two feelings that w
Vesālī	6	Vesali	casion the Blessed One was staying near Vesālī , at the Gabled Hall in the Great Fores | accaka the Nigaṇṭha-son was dwelling in Vesālī — a debater, a sophist, [1] well-regard | e this statement before the assembly in Vesālī: "I see no contemplative or brahman, th
Whoever	6	Whoever	Now, the Blessed One has said, "Whoever sees dependent co-arising sees the Dham | Now, the Blessed One has said, "Whoever sees dependent co-arising sees the Dham | And when he says, 'Whoever knows this, knows rightly; whoever know
Worthless	6	Worthless	lged in are not genuine obstructions." "Worthless man, from whom have you understood that | ing, at a loss for words, said to him, "Worthless man, you will be recognized for your ow | ing, at a loss for words, said to him, "Worthless man, you will be recognized for your ow
Apana	5	Apana	ttarapans at an Anguttarapan town named Apana . | rrying his outer robe & bowl, went into Apana for alms. | Having wandered for alms in Apana and returning from his alms round after
Ariyas	5	Ariyas	o is not in the habit of seeing [7] the Ariyas, [8] who is not proficient in the dhamm | is not proficient in the dhamma of the Ariyas and who is not trained and disciplined | nd disciplined [9] in the dhamma of the Ariyas, who is not in the habit of seeing the
Banyan Park	5	Banyan Park	mong the Sakyans at Kapilavatthu in the Banyan Park. | ng the Sakyans near Kapilavatthu in the Banyan Park. | rose from his seclusion and went to the Banyan Park.
Brahma-faring	5	Brahma-faring	keeping it unharmed, for furthering the Brahma-faring, [4] with the thought: Thus will I crus | pirit and the letters; he proclaims the Brahma-faring, [3] wholly fulfilled, quite purified. | or one who lives in a house to fare the Brahma-faring wholly fulfilled, wholly pure, polished
Breathing	5	Breathing	" [1] Breathing in long, he discerns, 'I am breathing i | covetousness and grief." Mindfulness of Breathing "And how, O bhikkhus, does a bhikkhu li | "Breathing in long, he discerns, 'I am breathing i
Carpenter Fivetools	5	Carpenter Fivetools	by the Blessed One." After these words, Carpenter Fivetools said: "Not three kinds of feelings, rev | cond and a third time,) but neither was Carpenter Fivetools able to convince the Venerable Udayi, n | nor could the Venerable Udayi convince Carpenter Fivetools.
Contemplative	5	Contemplative	The Blessed One said, "'Contemplative, contemplatives': That is how people pe | n monk thinks, ' Craving is said by the Contemplative [the Buddha] to be an arrow. | in monk thinks, 'Craving is said by the Contemplative to be an arrow.
Devas	5	Devas	"Devas, on seeing me, said, 'Gotama the contem | u think, general: Have you heard of the Devas of the Thirty-three?" "Yes, sir, I have | -three?" "Yes, sir, I have heard of the Devas of the Thirty-three, as has King Pasena
Divine Abidings	5	Divine Abidings	s, and the following, refer to the four Divine Abidings (brahma-vihara). | wn the non-returner's meditation on the Divine Abidings, the Blessed One now shows his practice | from the meditation on any of the four Divine Abidings, defines as 'mind' (nama) those very st
Eastern Monastery	5	Eastern Monastery	in the palace of Migara's mother in the Eastern Monastery. | ssed One was staying at Savatthi in the Eastern Monastery, the palace of Migara 's mother, togeth | ssed One was staying at Savatthi in the Eastern Monastery, the palace of Migara 's mother.
Enlightened One	5	Enlightened One	As it was said (by the Enlightened One): 'This mind, monks, is luminous, but i | , [1] the Consummate One, the supremely Enlightened One, in the Deer Park at Isipatana near Var | gata, the Consummate One, the supremely Enlightened One, in the Deer Park at Isipatana near Var
Exalted One	5	Exalted One	Bhagāva: "Exalted One". | " "Revered one," the monks answered the Exalted One in assent. | o, revered sir," the monks answered the Exalted One in assent.
Household	5	Household	dhisatta, the thought occurred to me: ' Household life is confining, a dusty path. | viction in the Tathagata and reflects: 'Household life is confining, a dusty path. | viction in the Tathagata and reflects: 'Household life is confining, a dusty path.
I	5	I	As I am, so are you; as you are, so am I. | A shower of the way, good Gotama, am I." " Even so, brahman, nibbana does exist | i Thera's; Soma Thera has "cancelling"; I.
Isn't	5	Isn't	stay just like that for an eternity' — Isn't it utterly & completely a fool's teachi | eting hall when this discussion arose: "Isn't it amazing, friends! | eting hall when this discussion arose: 'Isn't it amazing, friends!
Kapadika	5	Kapadika	o happened that a brahman student named Kapadika was seated in the assembly: young, shav | Gotama, don't scold the brahman student Kapadika. | Blessed One, "Yes, this brahman student Kapadika must be accomplished in the texts of th
Kasis	5	Kasis	nk, great king: Are [your subjects] the Kasis & Kosalans dear to you?" "Yes, Mallika, | salans dear to you?" "Yes, Mallika, the Kasis & Kosalans are dear to me. | It is through the might of the Kasis & Kosalans that we use Kasi sandalwood
King Pasenadi	5	King Pasenadi	what happened to Queen Mallika, wife of King Pasenadi, who had led a good life, generous, kee | Because of his social position, King Pasenadi is unable to pursue the path to release | r his morning meal." So they approached King Pasenadi while his meal was being served and on
King Seniya Bimbisara	5	King Seniya Bimbisara	e to be attained through pleasure, then King Seniya Bimbisara of Magadha would attain pleasure, for h | asked, "Who lives in greater pleasure: King Seniya Bimbisara of Magadha or venerable Gotama?"' "'Yes | Gotama: Who lives in greater pleasure: King Seniya Bimbisara of Magadha or venerable Gotama?' "'In t
Kitagiri	5	Kitagiri	ventually arrived at a Kasi town called Kitagiri. | And there he stayed in the Kasi town, Kitagiri. | Assaji & Punabbasu [2] were residing in Kitagiri.
Master Sariputta	5	Master Sariputta	"Master Sariputta, the one who, for the sake of his mothe | "Master Sariputta, the one who, for the sake of refreshin | increasing?" "I am not getting better, Master Sariputta.
Parasiri	5	Parasiri	the young brahman Uttara , a student of Parasiri [1] went to the Blessed One and, on arr | said to him: "Uttara, does the brahman Parasiri teach his followers the development of | That's how the brahman Parasiri teaches his followers the development o
Path	5	Path	of the Noble Truth of the Path leading to the cessation of suffering. | of the Noble Truth of the Path leading to the cessation of suffering. | "And what is the Noble Truth of the Path leading to the cessation of suffering?
Sañjaya	5	Sanjaya	brought this topic into the palace?" " Sañjaya , the brahman of the Akasa clan , great | ng, "As you say, sire," the man went to Sañjaya the brahman of the Akasa clan and on ar | d to King Pasenadi Kosala, "Great king, Sañjaya the brahman of the Akasa clan has come.
Solitude	5	Solitude	it as "lover," yielding "Ideal Lover of Solitude." If we look at idiomatic Pali usage, th | nd the exposition of the Ideal Lover of Solitude. | quil Sage has called The Ideal Lover of Solitude.
Streaming Radiance	5	Streaming Radiance	the devas of Streaming Radiance... | Immeasurable Radiance, and the devas of Streaming Radiance. | 23 and 125 , rebirth among the devas of Streaming Radiance can follow on the attainment of the sec
Sundarika Bharadvaja	5	Sundarika Bharadvaja	Now at that time the brahman Sundarika Bharadvaja [18] was seated not far from the Blesse | n the Blessed One addressed the brahman Sundarika Bharadvaja in these stanzas: [19] Bahuka and Adhik | When this was said, the brahman Sundarika Bharadvaja spoke thus: " Magnificent , Master Gota
Tathagatha	5	Tathagatha	i, in the Game Refuge at Isipatana, the Tathagatha — the worthy one, the rightly self-awak | i, in the Game Refuge at Isipatana, the Tathagatha — the worthy one, the rightly self-awak | i, in the Game Refuge at Isipatana, the Tathagatha — the worthy one, the rightly self-awak
Tathāgata's	5	Tathagata's	And who would understand the Tathāgata's greater analysis of action — if you wer | Because the Tathāgata's knowledge with regard to the greater an | Because the Tathāgata's knowledge with regard to the greater an
Though	5	Though	"Though certain recluses and brahmans claim to | "Though certain recluses and brahmans claim to | "Though certain recluses and brahmans claim to
Truly	5	Truly	What can the Bahuka River do?" "Truly, Master Gotama, many people believe tha | inize the drawbacks of those thoughts: 'Truly, these thoughts of mine are unskillful, | inize the drawbacks of those thoughts: 'Truly, these thoughts of mine are unskillful,
Ud	5	Ud	ee also: AN 4.192 ; AN 7.64 ; AN 8.54 ; Ud 6.2 . | See also: AN 5.49 ; Ud 2.7 ; Ud 8.8 . | See also: AN 5.49 ; Ud 2.7 ; Ud 8.8 .
Uposatha	5	Uposatha	a who attained state of Calm (Nibbana), Uposatha, Sundara, and Saccanama. | Now on that occasion — the Uposatha day of the fifteenth, the full-moon nig | Now on that occasion — the Uposatha day of the fifteenth, the full-moon nig
Venerable Sir	5	Venerable Sir	d the monks saying, "O monks." "Bhante (Venerable Sir)," replied those monks in assent to the | ng: "Bhikkhus!" And they answered him: "Venerable Sir!" Then the Bhagāva uttered these words: | I shall speak." "Very well, Venerable Sir!" replied the bhikkhus to the Bhagāva,
Virtuous	5	Virtuous	, who is not in the habit of seeing the Virtuous, [10] who is not proficient in the dham | is not proficient in the dhamma of the Virtuous and who is not trained and disciplined | ed and disciplined in the dhamma of the Virtuous, does not know the factors [11] which s
Worthy One	5	Worthy One	The Arahant "A monk who is a Worthy One, devoid of mental fermentations — who h | "A monk who is a Worthy One, devoid of mental fermentations... | "A monk who is a Worthy One, devoid of mental fermentations...
Your	5	Your	the monks, saying: "Reverend friends." "Your reverence," the monks replied the Vener | This the Venerable Sariputta said: "Your reverence, the matchless Wheel of Dhamm | "Your reverence, the matchless Wheel of Dhamm
Am	4	Am	perplexed about the immediate present: 'Am I? | s of identity and existence — such as, "Am I?" "Am I not?" "What am I?" "What was | ntity and existence — such as, "Am I?" "Am I not?" "What am I?" "What was I?" "Wha
An	4	An	"An individual endowed with ten qualities i | remove: samlikhati, "to remove fully." An interesting parallel is "ascesis," deri | Bhaddekaratta Sutta

Editor's note: An extensive discussion of this sutta may
Atthakanagara	4	Atthakanagara	at occasion Dasama the householder from Atthakanagara had arrived at Pataliputta on some busi | maka." Then Dasama the householder from Atthakanagara, on completing his business at Patalipu | s was said, Dasama the householder from Atthakanagara said to Ven.
Beautiful Black	4	Beautiful Black	the Beautiful Black devas... | e devas of Immeasurable Beauty, and the Beautiful Black devas. | easurable compassion; rebirth among the Beautiful Black devas can follow on the attainment of t
Bhagāva	4	Bhagava	Thus have I heard: Once the Bhagāva [1] was staying at the Jetavana monaste | At that time the Bhagāva addressed the bhikkhus, saying: "Bhikkh | answered him: "Venerable Sir!" Then the Bhagāva uttered these words: "Bhikkhus!
Bodhi	4	Bodhi	"Bodhi, Mahanama, and then Uttara; Kesi, Sikhi | Bhikkhus Ñanamoli and Bodhi throughout their translation of this di | hat is when still in the environ of the Bodhi tree before turning the Wheel of the Dh
Bodily	4	Bodily	Samiddhi, from the monk Gotama's lips: 'Bodily kammas are vain, verbal kammas are vain | One; the Blessed One would not say so: 'Bodily kammas are vain, verbal kammas are vain | his, face to face have I learned this: 'Bodily action is barren, verbal action is barr
Contact	4	Contact	If anyone were to say, 'Contact at the eye is the self,' that wouldn't | If anyone were to say, 'Contact at the intellect is the self,' that wou | "Contact has the six sense-media as its cause...
